Genre Name,Count,Link
asian-literature,84135,https://www.goodreads.com/genres/asian-literature
asmara,440,https://www.goodreads.com/genres/asmara
aspergers,5940,https://www.goodreads.com/genres/aspergers
astrology,40635,https://www.goodreads.com/genres/astrology
astronomy,52136,https://www.goodreads.com/genres/astronomy
atheism,64326,https://www.goodreads.com/genres/atheism
atlanta-campaign,46,https://www.goodreads.com/genres/atlanta-campaign
atlases,814,https://www.goodreads.com/genres/atlases
aussie-rules-football,15,https://www.goodreads.com/genres/aussie-rules-football
australia,148486,https://www.goodreads.com/genres/australia
autistic-spectrum-disorder,33,https://www.goodreads.com/genres/autistic-spectrum-disorder
autobiography,456399,https://www.goodreads.com/genres/autobiography
aviation,43068,https://www.goodreads.com/genres/aviation
aviation-history,1921,https://www.goodreads.com/genres/aviation-history
azeroth,580,https://www.goodreads.com/genres/azeroth
babylon-5,2964,https://www.goodreads.com/genres/babylon-5
back-to-school,38049,https://www.goodreads.com/genres/back-to-school
bad-science,3022,https://www.goodreads.com/genres/bad-science
baha-i,4510,https://www.goodreads.com/genres/baha-i
bande-dessinée,64465,https://www.goodreads.com/genres/bande-dessin%C3%A9e
bangladesh,10245,https://www.goodreads.com/genres/bangladesh
banking,5795,https://www.goodreads.com/genres/banking
banks,5558,https://www.goodreads.com/genres/banks
banned-books,154096,https://www.goodreads.com/genres/banned-books
barter,1994,https://www.goodreads.com/genres/barter
baseball,75582,https://www.goodreads.com/genres/baseball
basketball,13970,https://www.goodreads.com/genres/basketball
batman,90151,https://www.goodreads.com/genres/batman
battle-of-britain,1120,https://www.goodreads.com/genres/battle-of-britain
battle-of-gettysburg,860,https://www.goodreads.com/genres/battle-of-gettysburg
battles-of-the-american-civil-ear,70,https://www.goodreads.com/genres/battles-of-the-american-civil-ear
bdsm,543069,https://www.goodreads.com/genres/bdsm
beading,2947,https://www.goodreads.com/genres/beading
beauty-and-the-beast,42164,https://www.goodreads.com/genres/beauty-and-the-beast
beer,12767,https://www.goodreads.com/genres/beer
belgian,11655,https://www.goodreads.com/genres/belgian
belgium,25471,https://www.goodreads.com/genres/belgium
belief,25752,https://www.goodreads.com/genres/belief
benghazi,528,https://www.goodreads.com/genres/benghazi
benin,1002,https://www.goodreads.com/genres/benin
beverages,1933,https://www.goodreads.com/genres/beverages
biblical,55779,https://www.goodreads.com/genres/biblical
biblical-fiction,25079,https://www.goodreads.com/genres/biblical-fiction
bicycles,3797,https://www.goodreads.com/genres/bicycles
bigfoot,2054,https://www.goodreads.com/genres/bigfoot
biography,2191868,https://www.goodreads.com/genres/biography
biography-memoir,460585,https://www.goodreads.com/genres/biography-memoir
biology,176671,https://www.goodreads.com/genres/biology
birds,76182,https://www.goodreads.com/genres/birds
bird-watching,868,https://www.goodreads.com/genres/bird-watching
bisexual,47742,https://www.goodreads.com/genres/bisexual
bisexual-romance,670,https://www.goodreads.com/genres/bisexual-romance
bizarro-fiction,5457,https://www.goodreads.com/genres/bizarro-fiction
black-literature,21336,https://www.goodreads.com/genres/black-literature
boarding-school,66067,https://www.goodreads.com/genres/boarding-school
bolivia,2698,https://www.goodreads.com/genres/bolivia
bolsheviks,842,https://www.goodreads.com/genres/bolsheviks
bombers,856,https://www.goodreads.com/genres/bombers
bookkeeping,661,https://www.goodreads.com/genres/bookkeeping
books-about-books,278038,https://www.goodreads.com/genres/books-about-books
booze,5497,https://www.goodreads.com/genres/booze
botswana,4832,https://www.goodreads.com/genres/botswana
boys-love,17340,https://www.goodreads.com/genres/boys-love
brain,68237,https://www.goodreads.com/genres/brain
brazil,34824,https://www.goodreads.com/genres/brazil
brazzaville,484,https://www.goodreads.com/genres/brazzaville
brewing,3538,https://www.goodreads.com/genres/brewing
british-literature,403370,https://www.goodreads.com/genres/british-literature
buddhism,137882,https://www.goodreads.com/genres/buddhism
buffy-the-vampire-slayer,8056,https://www.goodreads.com/genres/buffy-the-vampire-slayer
bulgaria,6251,https://www.goodreads.com/genres/bulgaria
bulgarian-literature,4552,https://www.goodreads.com/genres/bulgarian-literature
burkina-faso,822,https://www.goodreads.com/genres/burkina-faso
burundi,1001,https://www.goodreads.com/genres/burundi
buses,759,https://www.goodreads.com/genres/buses
business,1074987,https://www.goodreads.com/genres/business
business-ethics,1328,https://www.goodreads.com/genres/business-ethics
butch-femme,4539,https://www.goodreads.com/genres/butch-femme
cabo-verde,555,https://www.goodreads.com/genres/cabo-verde
cairo,2669,https://www.goodreads.com/genres/cairo
calculation,456,https://www.goodreads.com/genres/calculation
calculus,2785,https://www.goodreads.com/genres/calculus
cameroon,3216,https://www.goodreads.com/genres/cameroon
campus,12414,https://www.goodreads.com/genres/campus
canada,190674,https://www.goodreads.com/genres/canada
canadian-literature,42729,https://www.goodreads.com/genres/canadian-literature
canon,281261,https://www.goodreads.com/genres/canon
canterbury-tales,605,https://www.goodreads.com/genres/canterbury-tales
cape-town,1186,https://www.goodreads.com/genres/cape-town
carolinas-campaign,13,https://www.goodreads.com/genres/carolinas-campaign
carolingian,569,https://www.goodreads.com/genres/carolingian
cars,12836,https://www.goodreads.com/genres/cars
cartography,5395,https://www.goodreads.com/genres/cartography
cartoon,23971,https://www.goodreads.com/genres/cartoon
castile,711,https://www.goodreads.com/genres/castile
category-romance,67710,https://www.goodreads.com/genres/category-romance
catholic,117457,https://www.goodreads.com/genres/catholic
cats,144120,https://www.goodreads.com/genres/cats
central-africa,1699,https://www.goodreads.com/genres/central-africa
central-african-republic,792,https://www.goodreads.com/genres/central-african-republic
chad,25570,https://www.goodreads.com/genres/chad
challenged-books,19963,https://www.goodreads.com/genres/challenged-books
chancellorsville-campaign,29,https://www.goodreads.com/genres/chancellorsville-campaign
chapter-books,308747,https://www.goodreads.com/genres/chapter-books
chemistry,53415,https://www.goodreads.com/genres/chemistry
chess,48444,https://www.goodreads.com/genres/chess
chick-lit,1501700,https://www.goodreads.com/genres/chick-lit
childrens,2069963,https://www.goodreads.com/genres/childrens
childrens-classics,93204,https://www.goodreads.com/genres/childrens-classics
china,221819,https://www.goodreads.com/genres/china
chinese-literature,25642,https://www.goodreads.com/genres/chinese-literature
chivalry,5488,https://www.goodreads.com/genres/chivalry
choose-your-own-adventure,9389,https://www.goodreads.com/genres/choose-your-own-adventure
christian,1329028,https://www.goodreads.com/genres/christian
